Number of Reads,77882279
Reads With Valid Barcodes,0.984138
Sequencing Saturation,0.801587
Q30 Bases in CB+UMI,0.776932
Q30 Bases in RNA read,0.889701
Reads Mapped to Genome: Unique+Multiple,0.858868
Reads Mapped to Genome: Unique,0.740981
Reads Mapped to Transcriptome: Unique+Multipe Genes,0.695104
Reads Mapped to Transcriptome: Unique Genes,0.664193
Estimated Number of Cells,89
Reads in Cells Mapped to Unique Genes,51579820
Fraction of Reads in Cells,0.997119
Mean Reads per Cell,579548
Median Reads per Cell,510268
UMIs in Cells,10225577
Mean UMI per Cell,114894
Median UMI per Cell,102573
Mean Genes per Cell,891
Median Genes per Cell,800
Total Genes Detected,11007
